90076,25342875,38.72028,-77.31757,1,1
90077,1050817648,38.72038,-77.31761,1,1
90408,100707229,38.67856,-77.35229,1,1
90731,19460731,38.68042,-77.32204,1,1
90791,25343523,38.71849,-77.30951,1,1
91838,100707239,38.67802,-77.34907,1,1
91849,100708843,38.68505,-77.31303,1,1
92054,26968953,38.68091,-77.36029,1,1
92588,335456738,38.68462,-77.31391,1,1
93012,335464620,38.68116,-77.35986,1,1
93217,335464634,38.68149,-77.35967,1,1
93401,100699086,38.68122,-77.36002,1,1
93519,26968955,38.67986,-77.36152,1,1
93600,338823710,38.68145,-77.35988,1,1
93990,100708808,38.68259,-77.31733,1,1
94414,276013772,38.67809,-77.34925,1,1
95047,100710739,38.68388,-77.30475,1,1
95099,100708367,38.6779,-77.32731,1,1
95496,100710740,38.68405,-77.30466,1,1
95817,335441963,38.6811,-77.36012,1,1
95940,100710684,38.68435,-77.30941,1,1
96075,335465350,38.68407,-77.36044,1,1
96198,100708805,38.68272,-77.31749,1,1
96542,100699085,38.68104,-77.35997,1,1
96821,335464628,38.68325,-77.36005,1,1
97437,100708694,38.68061,-77.32204,1,1
97841,100710683,38.68416,-77.30946,1,1
97842,983935440,38.68426,-77.30821,1,1
98190,100708417,38.68003,-77.32332,1,1
98562,100708651,38.68009,-77.32318,1,1
98742,100699756,38.69056,-77.36209,1,1
100374,100708650,38.67995,-77.32307,1,1
100375,983927258,38.68032,-77.32226,1,1
100388,983927253,38.68488,-77.31375,1,1
100390,335456729,38.68482,-77.31399,1,1
100392,983927252,38.67797,-77.32701,1,1
100851,25342878,38.71935,-77.31671,1,1
102384,335456851,38.67811,-77.32687,1,1
103519,100699078,38.68156,-77.36149,1,1
103832,100708698,38.6808,-77.32093,1,1
104630,983830669,38.68042,-77.36052,1,1
104631,219865873,38.67975,-77.36146,1,1
104795,335464622,38.68174,-77.36137,1,1
106829,335442286,38.68378,-77.30456,1,1
107128,100707240,38.67818,-77.34905,1,1
107645,335442079,38.67988,-77.32322,1,1
108507,100699080,38.68082,-77.36015,1,1
109514,100710741,38.68395,-77.30445,1,1
110695,100707226,38.67842,-77.35229,1,1
110868,100708697,38.68095,-77.32098,1,1
114925,25342888,38.72186,-77.31722,1,1
114926,983840399,38.72198,-77.31714,1,1
207785,100710653,38.68507,-77.31278,1,1
208524,100710651,38.68485,-77.31287,1,1
210983,100710693,38.6845,-77.30656,1,1
211432,100710733,38.68469,-77.30659,1,1
212758,25343574,38.72137,-77.30447,1,1
